"","year","recvDeployName","motusTagID","mfgID","meanLength","totVisits","nVisits","sdVisitLength","seVisits"
"59",2018,"Exxon Fields",28525,296,4.12859683564947,158,158,5.60259239053541,0.445718318655796
"60",2018,"Exxon Fields",28526,306,3.58758436609322,71,71,6.23077763589938,0.739457261456984
"61",2018,"Exxon Fields",28528,310,6.60089354167382,16,16,6.80676777076766,1.70169194269191
"62",2018,"Exxon Fields",28529,313,6.29568848025565,34,34,8.17482111422018,1.40197025488187
"63",2018,"Exxon Fields",28592,298,2.63564850012461,10,10,4.77587612673978,1.51026463833207
"64",2018,"Exxon Fields",28593,303,4.66246815623967,47,47,7.33402087997715,1.06977689330325
"65",2018,"Exxon Fields",28595,282,5.09776531886363,115,115,7.65737025659058,0.714053458274708
"66",2018,"Exxon Fields",28598,287,5.00848141503784,53,53,8.29663113275621,1.13962993126964
"67",2018,"Exxon Fields",28600,291,4.40215736071269,60,60,6.0433568561352,0.780194015300002
"68",2018,"Exxon Fields",28602,294,3.58885499975138,95,95,4.68885674794844,0.48106655194235
"69",2018,"Exxon Fields",28603,295,3.74866543847915,57,57,7.12923165123552,0.944289800307369
"70",2018,"Exxon Fields",28604,297,4.34657772529359,170,170,7.30518354604228,0.560282001691831
"71",2018,"Exxon Fields",28605,299,4.88665559159385,93,93,5.94862098267289,0.616843260929162
"72",2018,"Exxon Fields",28606,300,4.54584131129583,75,75,6.75005127283433,0.779428783882935
"73",2018,"Exxon Fields",28607,301,3.97189843171562,51,51,8.84259688541741,1.23821123097381
"74",2018,"Exxon Fields",28608,302,4.4930961943335,60,60,8.21467175351893,1.06050956319798
"75",2018,"Exxon Fields",28609,304,5.38659736327271,67,67,10.3588270184562,1.26553214102787
"76",2018,"Exxon Fields",28611,307,5.69649850592531,116,116,9.1793499506985,0.852281246670232
"77",2018,"Exxon Fields",28615,305,5.21273440802539,45,45,6.71575422977875,1.00112553186447
"78",2018,"Grand_Isle",28520,283,1.1564666668574,7,7,1.31077191828791,0.495425217330983
"79",2018,"Grand_Isle",28521,284,2.76627761912184,49,49,3.79318760457424,0.541883943510606
"80",2018,"Grand_Isle",28522,289,1.17665375173092,4,4,1.60756744802357,0.803783724011786
"81",2018,"Grand_Isle",28523,290,0.97268160485927,54,54,1.76935590360071,0.240778840955711
"82",2018,"Grand_Isle",28524,293,0.988378333051999,12,12,0.700396390344418,0.202187022252396
"83",2018,"Grand_Isle",28525,296,0.958411969560565,11,11,0.950482518823452,0.286581262248118
"84",2018,"Grand_Isle",28526,306,6.28109136422475,11,11,9.16287049891914,2.76270940432103
"85",2018,"Grand_Isle",28528,310,1.60019833246867,2,2,1.46433800570719,1.03544333378474
"86",2018,"Grand_Isle",28529,313,2.44740562538306,8,8,2.53978506764778,0.897949622045041
"87",2018,"Grand_Isle",28593,303,4.2224271433694,7,7,4.41893970570916,1.67020221712791
"88",2018,"Grand_Isle",28595,282,1.89766140047709,25,25,1.53225075150576,0.306450150301151
"89",2018,"Grand_Isle",28598,287,2.97452716708183,10,10,4.10144139778022,1.29698965066902
"90",2018,"Grand_Isle",28600,291,1.59297179442186,13,13,1.77372950625582,0.491944052585292
"91",2018,"Grand_Isle",28602,294,1.69434708406528,8,8,0.98081063665775,0.346768926120295
"92",2018,"Grand_Isle",28603,295,1.0668205552631,3,3,1.19558367115706,0.690270554381248
"93",2018,"Grand_Isle",28604,297,0.878527499900924,12,12,0.980962777472148,0.283179561819274
"94",2018,"Grand_Isle",28605,299,1.18838515654206,32,32,1.16487216739265,0.205922252194704
"95",2018,"Grand_Isle",28606,300,0.56476749976476,10,10,0.319996488892167,0.101191774815602
"96",2018,"Grand_Isle",28607,301,0.376549166440964,2,2,0.26625516556211,0.188270833094915
"97",2018,"Grand_Isle",28608,302,8.62850861152013,6,6,13.5480186219538,5.53095544158522
"98",2018,"Grand_Isle",28609,304,2.75335322991014,16,16,2.9180874531883,0.729521863297075
"99",2018,"Grand_Isle",28611,307,10.2736306546699,28,28,21.3951062766716,4.0432950344193
"100",2018,"Grand_Isle",28615,305,0.753033749262492,4,4,0.343701688637465,0.171850844318732
"101",2018,"East Grand Terre",28522,289,3.98485833340221,6,6,4.52362388804348,1.84676171899524
"102",2018,"East Grand Terre",28523,290,3.51421055528853,3,3,2.73031439082095,1.57634774851279
"103",2018,"East Grand Terre",28528,310,7.71864500045776,1,1,NA,NA
"104",2018,"East Grand Terre",28529,313,6.96567722029156,3,3,9.05030263935191,5.2251946650774
"105",2018,"East Grand Terre",28595,282,2.44742666482925,1,1,NA,NA
"106",2018,"East Grand Terre",28600,291,3.01219999790192,1,1,NA,NA
"107",2018,"East Grand Terre",28602,294,2.51014388799667,3,3,0.434777471324116,0.251018890106563
"108",2018,"East Grand Terre",28605,299,2.19634916649924,6,6,1.89251698305436,0.772616823005769
"109",2018,"East Grand Terre",28608,302,1.88256583412488,2,2,0.532476155649657,0.376517500480016
"110",2018,"East Grand Terre",28611,307,5.83609166701635,5,5,7.43807603718923,3.32640872819347
"111",2018,"East Grand Terre",28615,305,6.16551750004291,4,4,5.15431465764419,2.57715732882209
"112",2018,"Bolivar_Flats",28520,283,0.564368335405986,1,1,NA,NA
